iter	MultiClass
0	1.096193549
1	1.09399858
2	1.091876477
3	1.090163117
4	1.088220827
5	1.086110713
6	1.084428823
7	1.081920529
8	1.079892904
9	1.078130006
10	1.076645323
11	1.074150892
12	1.072334672
13	1.070393411
14	1.068565793
15	1.066479614
16	1.064461802
17	1.062483509
18	1.060762996
19	1.058348013
20	1.055844055
21	1.054327188
22	1.052662056
23	1.051062146
24	1.049270965
25	1.047038103
26	1.045141903
27	1.043239074
28	1.040816815
29	1.03861776
30	1.036404545
31	1.034287098
32	1.03246777
33	1.030525098
34	1.028798464
35	1.026338436
36	1.023219117
37	1.020631991
38	1.017822564
39	1.015895882
40	1.013728926
41	1.01111525
42	1.010106717
43	1.008595394
44	1.006646768
45	1.004728893
46	1.002553869
47	1.000518908
48	0.9988493578
49	0.9969436419
50	0.9958075755
51	0.9945419258
52	0.9929609882
53	0.990404876
54	0.9884687654
55	0.9867001479
56	0.9850226053
57	0.9831910947
58	0.9804750313
59	0.9782270912
60	0.976383007
61	0.9745370506
62	0.97263776
63	0.9714324339
64	0.9691174401
65	0.967307363
66	0.9657784734
67	0.9639584118
68	0.962434778
69	0.960684713
70	0.9592107386
71	0.9572718479
72	0.9557090407
73	0.953908587
74	0.9525396152
75	0.950390843
76	0.9478236002
77	0.9458320571
78	0.9442594917
79	0.9422015796
80	0.9401744762
81	0.938696882
82	0.936623325
83	0.9351404291
84	0.9330487612
85	0.9313261552
86	0.9293119213
87	0.9279464678
88	0.9263140908
89	0.9247578062
90	0.9226508295
91	0.9208184382
92	0.9195337556
93	0.9179814701
94	0.9163706217
95	0.9144569362
96	0.9122435551
97	0.9107219827
98	0.9096734457
99	0.9081678415
100	0.9067786302
101	0.9046166204
102	0.9017122765
103	0.900189846
104	0.8977789031
105	0.8956614835
106	0.8941095156
107	0.8923254066
108	0.890910036
109	0.8887539984
110	0.8872078294
111	0.8851691943
112	0.8839329929
113	0.8823835145
114	0.8808939695
115	0.8790628496
116	0.8774810323
117	0.8759106471
118	0.8741924649
119	0.8727737492
120	0.8709037474
121	0.8701695886
122	0.8689168322
123	0.8665138419
124	0.8646111067
125	0.8631610281
126	0.861722072
127	0.8598840319
128	0.858514544
129	0.8568054916
130	0.8552009087
131	0.8532148059
132	0.8518031343
133	0.8506054556
134	0.8489912594
135	0.8482007571
136	0.846478499
137	0.8449929957
138	0.8432844157
139	0.8415618465
140	0.8399018696
141	0.8382559077
142	0.8369171904
143	0.8353534877
144	0.8333554412
145	0.8316318536
146	0.8295722721
147	0.8275675877
148	0.8263351326
149	0.8245066638
150	0.8231194638
151	0.8217318526
152	0.819607552
153	0.8182454074
154	0.8169483144
155	0.8153091138
156	0.8137279439
157	0.8123553919
158	0.8103919409
159	0.8092173814
160	0.8075805118
161	0.8063268018
162	0.8048333609
163	0.8036283219
164	0.8025268314
165	0.80066183
166	0.7993427057
167	0.7981653135
168	0.7972430143
169	0.7957243851
170	0.7945547428
171	0.7930941281
172	0.7920725429
173	0.7911993335
174	0.7899120405
175	0.7882802174
176	0.7865863966
177	0.7851551036
178	0.784089119
179	0.7829403616
180	0.7812187772
181	0.7798070844
182	0.7784205587
183	0.7764182878
184	0.774768516
185	0.7736517056
186	0.7727722872
187	0.7712965579
188	0.7703294526
189	0.7693553985
190	0.7681252904
191	0.7667638337
192	0.7649206548
193	0.7638925813
194	0.7624601872
195	0.7617513898
196	0.7601733571
197	0.7588496597
198	0.7577406607
199	0.7565456126
200	0.7552978406
201	0.7540490015
202	0.7525440814
203	0.7511253639
204	0.7501243137
205	0.7485030894
206	0.7476967331
207	0.7464597772
208	0.7451121005
209	0.7438526501
210	0.7421155235
211	0.7411049271
212	0.7402052443
213	0.738800479
214	0.7378988747
215	0.7366812669
216	0.7353906484
217	0.7344111781
218	0.7328127046
219	0.7314335092
220	0.7302502063
221	0.7285660464
222	0.7273741913
223	0.726062169
224	0.7244849128
225	0.7226695654
226	0.7216191764
227	0.720623274
228	0.7194438578
229	0.7178536741
230	0.7166535128
231	0.7155975224
232	0.7139766727
233	0.7130403689
234	0.7115876199
235	0.7109242877
236	0.7096947684
237	0.708377936
238	0.7071362437
239	0.7057171891
240	0.7042729314
241	0.7033433894
242	0.702259895
243	0.7012024952
244	0.6999612321
245	0.6989957411
246	0.697885406
247	0.696485029
248	0.6952503438
249	0.6943966901
250	0.6929966507
251	0.6914397974
252	0.6902980278
253	0.6892802872
254	0.6876525098
255	0.6861799173
256	0.6852417867
257	0.6842423272
258	0.6831908184
259	0.6817411909
260	0.6809538809
261	0.679756258
262	0.6786931528
263	0.677968069
264	0.6769852853
265	0.6758296617
266	0.6748614823
267	0.6734005791
268	0.6722937457
269	0.6712437238
270	0.6699223289
271	0.6685924034
272	0.6674622753
273	0.6661720382
274	0.6652961748
275	0.6639179189
276	0.6626918021
277	0.661697836
278	0.6603607194
279	0.6592662956
280	0.6580706919
281	0.6567870535
282	0.6558031565
283	0.6546890653
284	0.6533364068
285	0.6522714966
286	0.6511941792
287	0.6501907106
288	0.6485415677
289	0.6473103914
290	0.6458187584
291	0.6450506312
292	0.6433076034
293	0.6421577807
294	0.6411862995
295	0.6401414498
296	0.6392408819
297	0.6380988243
298	0.6369450828
299	0.6359465549
300	0.6346270744
301	0.6338009832
302	0.6330263626
303	0.6317681603
304	0.6302271293
305	0.6293139165
306	0.6282976108
307	0.6273281747
308	0.6263193619
309	0.6247822563
310	0.6232301327
311	0.6222736044
312	0.621161404
313	0.6203055162
314	0.619271886
315	0.6183211452
316	0.6172060463
317	0.6159973497
318	0.6150608122
319	0.6141464711
320	0.6135804721
321	0.6126624168
322	0.611363752
323	0.6102664994
324	0.6091975644
325	0.60792911
326	0.6072887488
327	0.606269717
328	0.6053815697
329	0.6045705228
330	0.6030502417
331	0.6021617656
332	0.6011838342
333	0.6002374429
334	0.5990322607
335	0.5981227671
336	0.5970182139
337	0.5960272601
338	0.5949554217
339	0.5938564141
340	0.5923880815
341	0.5913117324
342	0.5903239379
343	0.5895398053
344	0.5881573542
345	0.5869705874
346	0.5860967825
347	0.5851790469
348	0.5840339889
349	0.5829262798
350	0.5822282867
351	0.5810793923
352	0.5801170207
353	0.5788761079
354	0.5781356041
355	0.5771623215
356	0.5760476406
357	0.5748562058
358	0.5739212876
359	0.572874997
360	0.5718927947
361	0.571092305
362	0.5698331718
363	0.5685282648
364	0.5676153639
365	0.5661216998
366	0.5651475298
367	0.5645927886
368	0.5638550498
369	0.5628098739
370	0.5618032805
371	0.5608556009
372	0.5600157491
373	0.5589773565
374	0.5579390303
375	0.5568637131
376	0.5559871179
377	0.5551768187
378	0.5544093592
379	0.5534547149
380	0.5524501912
381	0.5515079892
382	0.550774375
383	0.5498295275
384	0.5489913569
385	0.5480607733
386	0.5471934112
387	0.5461305031
388	0.5451253158
389	0.5438263324
390	0.5427502393
391	0.5417670601
392	0.5408078588
393	0.5400103878
394	0.5385690905
395	0.5375075444
396	0.5366902385
397	0.5357579707
398	0.5347413684
399	0.5337106422
400	0.5326716548
401	0.5317478707
402	0.5311317917
403	0.5303088029
404	0.529525687
405	0.528890624
406	0.5280523918
407	0.5269836407
408	0.5259945466
409	0.5248234186
410	0.5239310258
411	0.5230960901
412	0.5222061766
413	0.5211622176
414	0.5198401985
415	0.5190118068
416	0.5182937268
417	0.517421562
418	0.5166943989
419	0.5159262149
420	0.5148311893
421	0.5139365488
422	0.512956985
423	0.5121925672
424	0.5114601611
425	0.5106186033
426	0.5099083965
427	0.5090705685
428	0.508327603
