iter	Passed	Remaining
0	271	230249
1	363	154171
2	440	124359
3	519	109978
4	613	103614
5	694	97680
6	781	94135
7	864	90962
8	953	89089
9	1046	87866
10	1169	89194
11	1326	92659
12	1402	90276
13	1482	88531
14	1582	88079
15	1667	86937
16	1758	86172
17	1853	85671
18	1947	85162
19	2020	83834
20	2112	83384
21	2196	82666
22	2282	82080
23	2355	81054
24	2425	80031
25	2547	80727
26	2619	79833
27	2688	78917
28	2757	78058
29	2829	77345
30	2904	76741
31	2976	76084
32	3050	75516
33	3124	74995
34	3195	74414
35	3264	73825
36	3351	73640
37	3468	74107
38	3595	74771
39	3684	74615
40	3758	74160
41	3832	73726
42	3903	73261
43	3977	72858
44	4058	72604
45	4127	72149
46	4199	71746
47	4281	71535
48	4377	71565
49	4464	71430
50	4550	71295
51	4621	70921
52	4692	70557
53	4761	70186
54	4828	69798
55	4900	69485
56	4975	69215
57	5045	68893
58	5116	68590
59	5185	68278
60	5253	67957
61	5328	67720
62	5397	67425
63	5481	67320
64	5562	67177
65	5645	67060
66	5727	66934
67	5810	66816
68	5889	66658
69	5971	66535
70	6064	66536
71	6147	66430
72	6226	66272
73	6300	66071
74	6370	65831
75	6442	65611
76	6521	65464
77	6590	65227
78	6662	65022
79	6738	64859
80	6829	64835
81	6910	64722
82	6989	64587
83	7060	64387
84	7134	64214
85	7206	64023
86	7273	63785
87	7341	63573
88	7416	63412
89	7524	63542
90	7606	63440
91	7672	63213
92	7743	63033
93	7811	62822
94	7880	62631
95	7949	62437
96	8022	62273
97	8090	62082
98	8164	61935
99	8231	61738
100	8305	61588
101	8383	61479
102	8461	61369
103	8540	61262
104	8628	61222
105	8717	61190
106	8813	61202
107	8903	61173
108	9002	61197
109	9102	61237
110	9210	61318
111	9321	61418
112	9448	61622
113	9559	61720
114	9661	61749
115	9757	61739
116	9853	61729
117	9949	61718
118	10049	61730
119	10144	61714
120	10261	61824
121	10368	61873
122	10464	61850
123	10568	61879
124	10665	61861
125	10765	61857
126	10863	61847
127	10962	61835
128	11082	61940
129	11179	61916
130	11276	61889
131	11386	61938
132	11491	61952
133	11605	62011
134	11724	62093
135	11838	62153
136	11938	62133
137	12043	62137
138	12152	62160
139	12260	62178
140	12355	62127
141	12448	62069
142	12547	62034
143	12643	61989
144	12739	61941
145	12833	61882
146	12933	61850
147	13025	61784
148	13129	61771
149	13221	61701
150	13316	61643
151	13411	61588
152	13519	61586
153	13625	61581
154	13722	61531
155	13820	61483
156	13917	61431
157	14017	61392
158	14112	61332
159	14211	61289
160	14315	61263
161	14416	61225
162	14518	61193
163	14619	61151
164	14722	61122
165	14830	61107
166	14939	61099
167	15041	61060
168	15167	61119
169	15294	61177
170	15416	61214
171	15529	61213
172	15634	61181
173	15737	61142
174	15827	61049
175	15927	60993
176	16023	60925
177	16118	60852
178	16220	60804
179	16322	60756
180	16419	60688
181	16525	60652
182	16624	60592
183	16724	60536
184	16832	60505
185	16936	60460
186	17033	60389
187	17122	60293
188	17234	60274
189	17339	60232
190	17436	60161
191	17537	60101
192	17723	60333
193	17817	60250
194	17914	60175
195	18007	60087
196	18114	60044
197	18218	59991
198	18328	59959
199	18418	59861
200	18511	59771
201	18603	59676
202	18693	59579
203	18792	59510
204	18879	59401
205	18969	59301
206	19062	59213
207	19153	59118
208	19248	59033
209	19351	58976
210	19446	58892
211	19538	58800
212	19625	58691
213	19713	58588
214	19808	58503
215	19901	58413
216	20014	58383
217	20118	58326
218	20223	58268
219	20310	58162
220	20399	58059
221	20481	57938
222	20569	57834
223	20657	57731
224	20751	57641
225	20839	57539
226	20927	57435
227	21034	57383
228	21137	57320
229	21252	57289
230	21373	57273
231	21501	57274
232	21611	57229
233	21738	57225
234	21852	57187
235	21942	57088
236	22047	57024
237	22134	56916
238	22224	56817
239	22312	56709
240	22404	56614
241	22501	56531
242	22591	56432
243	22686	56343
244	22772	56233
245	22859	56126
246	22964	56062
247	23063	55984
248	23157	55895
249	23252	55804
250	23348	55720
251	23450	55648
252	23556	55585
253	23651	55497
254	23736	55384
255	23834	55302
256	23932	55222
257	24025	55127
258	24121	55041
259	24214	54948
260	24323	54891
261	24417	54799
262	24514	54714
263	24600	54605
264	24692	54510
265	24786	54419
266	24875	54316
267	24963	54211
268	25054	54114
269	25145	54017
270	25248	53944
271	25336	53840
272	25425	53738
273	25519	53647
274	25622	53575
275	25713	53476
276	25808	53387
277	25898	53288
278	25989	53190
279	26083	53098
280	26176	53005
281	26274	52921
282	26367	52827
283	26462	52737
