,shop_id,ORANGE BARLEY 1.5L item_price,GINGER BEER 1.5L item_price,TONIC PET 500ML item_price,CREAM SODA 1L item_price,STRAWBERRY MILK 180ML item_price,CREAM SODA 1.5L item_price,TWISTEE APPLE 1L item_price,FIT O MIXED FRUIT 200ML item_price,SODA PET 1.5L item_price,FIT O MIXED FRUIT 1L item_price,KIK COLA 1L item_price,LEMONADE 500ML item_price,FIT O ORANGE 1L item_price,NECTO 1.5L item_price,LEMONADE 1.5L item_price,GINGER BEER 1L item_price,FIT O MANGO 200ML item_price,FIT O MANGO 1L item_price,CREAM SODA 500ML item_price,FIT O ORANGE 200ML item_price,CREAM SODA APPLE POP 1L item_price,BOTTLED DRINKING WATER 500ML item_price,SODA 500ML item_price,GINGER BEER 500ML item_price,SODA 1L item_price,NECTO 500ML item_price,ORANGE CRUSH 500ML item_price,BOTTLED DRINKING WATER 1.5L item_price,NECTO 1L item_price,GINGER BEER SUGAR FREE 500ML item_price,ORANGE CRUSH 1.5L item_price,DRY GINGER ALE PET 500ML item_price,LEMONADE 1L item_price,ORANGE CRUSH 1L item_price,GINGER BEER 400ML item_price,CHOCOLATE MILK 180ML item_price,LIME CRUSH JUICE 1L item_price
0,SHOP047,220,220,160,150,140,220,270,60,160,290,120,100,290,220,220,150,70,290,100,70,150,35,70,100,110,100,100,70,150,80,220,0,120,150,100,0,0
1,SHOP009,220,220,160,150,140,220,0,70,160,270,120,100,290,220,220,150,60,290,100,70,150,35,70,100,110,100,100,70,150,80,220,160,0,150,100,0,0
2,SHOP083,220,220,160,150,70,220,0,60,160,290,120,100,290,220,220,150,60,290,100,70,150,35,70,100,110,100,100,70,150,80,220,160,0,150,100,210,0
3,SHOP117,220,220,160,150,70,220,0,60,160,290,120,100,290,220,220,150,60,290,100,70,150,35,70,100,110,100,100,70,150,80,220,160,0,150,100,0,0
4,SHOP042,220,220,160,150,70,220,0,60,160,290,120,100,290,220,220,150,60,290,100,70,150,35,70,100,110,100,100,70,0,80,220,160,120,150,100,0,0
5,SHOP034,220,220,320,150,70,220,0,60,160,290,120,100,290,220,220,150,60,290,100,70,150,70,70,100,110,100,100,70,150,80,220,160,120,150,100,140,0
6,SHOP100,220,220,150,150,70,220,0,120,160,270,120,100,290,220,220,150,60,290,100,140,150,35,70,100,110,100,100,70,150,80,220,150,0,150,100,0,0
7,SHOP057,220,220,160,150,70,220,270,70,160,290,120,100,290,220,220,150,140,290,100,70,150,35,70,100,110,100,100,70,150,80,220,160,0,150,100,350,0
8,SHOP098,220,220,160,150,70,220,0,70,160,290,120,100,290,220,220,150,60,290,100,70,150,35,70,100,110,100,100,70,150,80,220,160,120,150,100,0,0
9,SHOP123,220,220,160,150,70,220,270,60,160,270,120,100,290,220,220,150,60,290,100,70,150,35,70,100,110,100,100,70,150,80,220,320,0,150,100,140,0
10,SHOP116,220,220,160,150,70,220,0,70,160,290,120,100,290,220,220,150,70,290,100,70,150,35,70,100,110,100,100,70,150,80,220,160,120,150,0,0,0
11,SHOP005,220,220,160,150,140,220,0,70,160,290,120,100,290,220,220,150,60,290,100,70,150,35,70,100,110,100,100,70,150,80,220,160,120,150,100,210,0
12,SHOP065,220,220,160,150,70,220,0,60,160,290,120,100,290,220,220,150,60,290,100,70,150,35,70,100,110,100,100,70,150,80,220,160,0,150,100,0,0
